sample_barcode,patient_barcode,CNV_NMF1,CNV_NMF2,CNV_NMF3,CNV_NMF4,CNV_NMF5,CNV_NMF6,CNV_NMF7,CNV_NMF8,CNV_NMF9,CNV_NMF10,CNV_NMF11,CNV_NMF12,CNV_NMF13,CNV_NMF14,CNV_NMF15
TCGA-BR-7716-01,TCGA-BR-7716,3.832216928732619e-12,0.8047063021467239,4.6948087285802835e-08,0.07715948026336154,0.27845547480766897,0.19872840977897363,0.05418553035162605,0.21792826998642376,0.0987058746584618,0.7343002604206369,0.3599146126787522,0.047488329454825486,0.4449231487360313,0.10141107629614309,0.23371134367099008
TCGA-BR-7717-01,TCGA-BR-7717,0.30628180826014806,0.11862827740074403,0.7542330478242977,0.7762238943174696,0.5220912751552674,0.18126985849362073,0.49571337640945334,0.18289642434979106,0.20775482635530124,0.30222280633562787,0.43637646255321594,2.0859628655025168e-12,0.4768225507514127,0.12432714958221837,0.25447179246161006
TCGA-BR-7722-01,TCGA-BR-7722,0.2143162130657198,0.4434976323210518,0.28421300093177004,0.33890724857484456,0.23658854274058808,0.5843860729407914,0.2904421103129027,0.37070184840944465,0.45644090185910946,0.0852428832812244,0.14475536138187423,0.3127633406332128,0.233478370617105,0.06733287544644839,0.2787711750876672
TCGA-BR-7723-01,TCGA-BR-7723,0.5556868793670185,0.0617838904113648,0.31805571790243664,0.08043588314011925,0.318337968738325,0.7213456079109722,0.01725048140837581,0.06250657973258288,0.8014630014807688,0.15800451992528536,4.2557372219607945e-05,0.1530297424259084,0.36838709905153355,0.06521040083914573,0.12403051822356914
TCGA-BR-7851-01,TCGA-BR-7851,0.23746139908852126,0.3498196367095332,0.36567207339321245,0.2804244832282119,0.22506263632125328,0.16442304897596435,0.2717050217006825,0.33921658823027956,0.23382128109945716,0.11301791685316466,0.39068181750234,0.33542265887631545,0.2569599321680379,0.16512918481893424,0.3930190699716982
TCGA-BR-7901-01,TCGA-BR-7901,0.11364301592120833,0.25207177217836535,0.34621911516513565,0.045840956293948784,0.4126819191188052,0.37830602975802197,0.04362484181963779,0.3915310842311453,0.5547052060906097,0.3083805578932735,9.488714983213914e-05,0.0609817796237232,0.5965595846887898,0.15709435067570673,0.5418245110464827
TCGA-BR-7957-01,TCGA-BR-7957,0.2205296452337351,0.2689032294076772,0.4061704872659522,0.295744772241747,0.27458117522232106,0.00227762902752293,0.2747342727651124,0.6468241905215486,0.2503810798908884,0.33579948330554843,0.42761713606065355,0.3727972648669618,0.2330350045420296,0.17245860390282283,0.03854550484155208
TCGA-BR-7958-01,TCGA-BR-7958,0.3559541371468982,0.5540103992885894,0.0007150003290830316,0.24455456781184504,0.002170408525442329,0.1737471958779901,0.19546243150440917,4.776341612338471e-16,0.8626591903130498,0.924277745489672,0.4094235752998625,0.3390281925373331,1.0448170127479244e-10,0.1387395871662872,0.4369553187141717
TCGA-BR-7959-01,TCGA-BR-7959,0.34986512341512177,0.4585124617897141,0.24135815321948878,0.5825474516733102,0.6054336212159449,0.14932970636060341,0.5479590982434988,0.08029522161051109,1.8067356763320877e-17,3.670260174379282e-07,0.4636247471775069,3.617719929898815e-20,0.13049133035024774,0.5553927247603337,0.31112611485277125
TCGA-BR-8058-01,TCGA-BR-8058,0.14967043774190097,0.25712997552255734,0.5979754058135438,0.0009372452695369348,0.40276047429337736,0.17693396736039177,0.010898810415437528,0.29525193307822684,0.31849067679597814,0.2524834037687547,0.3608741225147219,0.03841591925041264,0.29092798362543465,0.17906574916002738,0.4339742068059521
